user,date,rating,title,content
bevo-13678,29-Mar-20,10月10日,Compelling masterpiece,N/A
Keegen,10-Aug-98,N/A,The greatest movie ever!,"The Shawshank Redemption is easily my favorite movie of all time. It has every single element that should be looked for in a film. A brilliant script (with the best dialogue ever written), a perfect cast (not one bad performance), and not to mention an original, complex and ultimately uplifting story.Based on the Stephen King novel, Shawshank Redemption is a delight from first scene to last. The opening is a brilliantly done sequence with Andy's (Tim Robbins) trial intercut with his actions on the night of his crime. This leads to him being taken to Shawshank with one of the best shots ever captured on film, with the camera sweeping from behind the prison bus in the air and diving into the middle of the prison yard. There Andy meets Red (Morgan Freeman) and others, and a gradual friendship begins to develop.This movie has that certain indefinable screen magic, every line of dialogue spoken has real conviction and meaning, and the performances in this movie are nothing short of magnificent. Tim Robbins delivers his best screen performance ever, as the quietly spoken Andy. Here is a character like no other, so vivid, so real, that you can't help but like him. Morgan Freeman also delivers his best work ever as Red, Andy's friend. Freeman, while playing a different character from Robbins, is also able to give off a quiet dignity for his character.The supporting cast is perfect. From Bob Gunton, chillingly evil, but never over the top as to become cartoonish, as the Warden. Clancy Brown, as the prison Guard Hadley is brilliant, as is Veteran James Whitmore, as Brooks, who while given relatively small screen time is brilliant as the lifer con who's sad journey the film details.There is not a dull moment or poor line of dialogue in this film. Credit first time director Frank Darabont for this remarkable piece of work. He is a director of the future. I still can't believe this was his first movie!, he will find it hard to top this masterful film. Special mention must be made of the music score by Thomas Newman, who has composed a simple, but perfect score for this film. His scoring of the scene with Andy and Red sitting up against the wall discussing their plans for release is nothing short of brilliant, as is the rest of his score.I encourage everyone who has not seen this to grab it now, as it is surely not only the best movie of the 90's but the best movie of all time.***** out of *****"
faceisonfire,8-Feb-03,3月10日,Saccharine,"Why do you like this so much? It steals directly from every other GOOD prison movie I've ever seen: The Great Escape, Escape from Alcatraz, Midnight Express, you name it. Because it allows the hero to be raped it's somehow brave or profound or heaven forbid realistic. Far from it folks. The work of hacks, only the MAIN performances are redeemable. How 'bout that warden, quite a 3 dimensional character that one. As are all the peripherals. Its bad, but in an average hollywood way. Of course it's overblown but it entertains decent enough in that much. Nothing memorable, infact I'd have forgotten it totally if it weren't for the persistant and oh so undeserved praise heaped upon it. But hey if it does it for you more power to you. Just don't talk about it's ""power"" in front of me, I may puke."
Calicodreamin,5-Mar-20,10月10日,Beautiful movie,"Quite deserving of such acclaim, the acting is superb, the storyline captivating, and the cinematography quite beautiful. The storyline itself was unexpected and I quite enjoyed watching it unfold. Tim Robbins is really incredible in that his character comes off so subtly. And let's be honest, how can any movie narrated by Morgan freeman be bad?"
Amanda-12,6-Nov-98,10月10日,one of my absolute favorites!,"This is definitely one of my favorite movies -- it makes me cry and laugh and ache inside all at once.  Tim Robbins, you make my days a little brighter -- thank you!"
tameries,13-Jun-20,8月10日,Not that much good to get the rank 1,"After ten years, I watched this movie again. I wanted to see whether my thoughts will change or not, because ten years ago I did not understand why this movie is at the top. Still, I think it should not be even in top 50 movies, because nothing is special. Years are passing just like a moment, I could not feel his pain or hope. In one scene, he wants something than bum it is happening. Again, for one scene his situation is so bad, than guess what happens? After just 30 seconds, he is good. So you never go top or down during this movie. My suggestion is it is better to watch this movie without the number 1 expectations.
The best coutes:
""I have to remind myself that some birds aren't meant to be caged."" - Red"
Morejambo54,31-Dec-20,9月10日,Delightful to sit through,N/A
kysersoze-1,3-Jul-10,10月10日,Best of all time!!!,This is the best movie I have ever seen. In a way I feel I am in a prison of life myself. Restricted to doing certain things. Sometimes I get frustrated and feel as I should runaway to some place where I could feel free. I hope and dream for it sometime. This movie just reminds me of my feelings so much. I love Andy Dufresne most in this movie. Although critics say Tim Robbins didn't do enough to express the character but my personal opinion is that he was made for this role.I can go on and say more but I said the most important thing which I feel whenever I watch it.I am glad to visit IMDb. I never heard of it before. Some 7 years ago I saw it at no.2 in the rankings and decided to watch it immediately. Only other movie which even comes close to this is Citizen Kane. But that is about past and this one is about hope and freedom.I give it 11/10.
mahdir-32837,30-Nov-24,10月10日,A Masterpiece Like No Other,N/A
i-54412,12-Feb-19,10月10日,!!!!!,N/A
joe_1994,13-Sep-11,N/A,A moving masterpiece.,N/A
b33joy,13-Apr-20,7月10日,#1 ? SERIOUSLY ??,This is a normal average movie . People are just hyped because it is in #1 . And I don't think those people have seen a lot of movies . It's way too much overrated in my opinion . My honest rating would be 7/10
jono1975,13-Jan-04,3月10日,Over rated,"The acting is adequate, the story is adequate, but why all the fuss?It sometimes baffles me why some movies get such high ratings when they are really only run of the mill.This is not that bad a film, just seen it all before."
Archnanis,11-May-25,10月10日,A Milestone in Cinema History,"The greatest film in the history of world cinema. There's nothing beyond it, period.I honestly can't remember how many times I've watched it. I have no idea how many more times I will.Every single time, it's the same emotion, the same feast.You watch a film, and your life changes. This is that kind of film.The most special moments of my life happened while watching this movie.I grabbed everyone who hadn't seen it by the collar and made them watch it.It's ten times more effective than any kind of medicine meant to lift my spirits.This film is also a teacher.It taught me so much about the concepts of hope and happiness.I'm glad you exist, The Shawshank Redemption..."
muzotime_UZBEK,13-Aug-25,10月10日,"Hope, resilience, triumph","Frank Darabont's ""The Shawshank Redemption"" is a timeless masterpiece that transcends the confines of its prison setting to deliver a profound and deeply moving exploration of hope, friendship, and perseverance. The film, based on a Stephen King novella, is a meticulously crafted narrative that captivates from beginning to end. It's a story of an innocent man, Andy Dufresne, who finds a way to endure and even thrive within a brutal and dehumanizing system. The performances by Tim Robbins and Morgan Freeman are nothing short of iconic, their chemistry creating one of the most compelling on-screen friendships in cinematic history. The film's dialogue is sharp and poetic, and its pacing is masterful, allowing for a slow-burn narrative that builds to one of the most satisfying and emotionally resonant conclusions in film.Is it a remake of another film? No, it is not a remake. It is an adaptation of Stephen King's novella ""Rita Hayworth and Shawshank Redemption"".Is it worth watching? Absolutely. ""The Shawshank Redemption"" is a classic for a reason. It's a powerful and beautifully told story that is as inspiring as it is unforgettable."
kaydonstrutzel,3-Aug-25,10月10日,Possibly the greatest movie of all time!,"This was my first time seeing this movie and I absolutely loved the movie. The drama and the story were really interesting of the whole movie. The violence was also very interesting of the film, it shows what it's like in prison after committing a crime and it shows what friendships in prison. It shows a lot of the film, just like escaping prison and Reuniting with a friend you have not seen in years. Very emotional and very good film, the director made this masterpiece well done and well made. The cast were really good and the acting was really impressive. We need another Shawshank redemption because the first one was amazing, also VERY RECOMMEND TO WATCH!"
Top_Dawg_Critic,11-Jul-17,10月10日,The best jailhouse movie of all time!,"The best jailhouse movie of all time! Right next to The Green Mile!What we have here is another classic collectible. If you have or have not seen this film, it's one of those that have to be in your DVD collection... a film to pass down to the younger generation to inspire them on how film-making should be done.An all star cast with outstanding performances and directing!If you don't own this, add it to your collection!A perfect and well deserves 10/10 from me!"
alibrahim1,6-May-25,10月10日,Perfection,"The greatest movie of all time.. Just perfection.Movie is done exquisitely in every detail. Acting, Directing, Cinematography, Score, and Story.For me it's a perfect movie if you check all these boxes. ESPECIALLY the story!The story was nothing short of perfect. Didn't leave anything out. Every aspect of the movie left me satisfied.. covered all grounds.First, Injustice in the legal system which is a widely talked issue.. how Andy had to help himself and get freedom (justice) by himself.Second, how many people of power abuse religion to their own use. They appear as holistic/religious/angel like.. yet down deep they are frauds who invest in religion to their own benefit.This point is covered and satisfied successfully (The warden and the policeman got their revenge from andy)Third, how these people spend their whole life in the institution to the point they know nothing but it. Feel lost. Can't live without it.Fourth..
in the beginning andy struggled tremendously. Yet with time he had great bonds.. especially with Red. Even with such gruesome environment he was able to connect with someone on a deep lovely level.He got redemption/revenge on everything... Warden/Guards/The system/his abusers and everything.. lived his life happily in Mexico and did was he always wanted to do.. with his friendStory really makes you satisfied as a viewer! Didn't let me hanging or anything.. just satisfiedAmazing acting by Tim and Morgan."
reense,21-Jan-25,10月10日,Redeeming hope.,"I realise now that the immense praise that Shawshank receives - being number 1 on the IMDb list, nearly universal adoration and a cemented position as an iconic classic - is all completely deserved.I had been wanting to watch The Shawshank Redemption for a couple years, and once I did it blew me away. I even wanted to watch it again today, just a day after, and relive this movie again and the joy it gave me.I've gotten used to watching very subpar, modern movies but this was a movie that deeply moved me - it tells the story of a man, Andy Dufresne, wrongly jailed for a crime he didn't commit, and illustrates his life over the next 20 years, and the unforgettable characters he meets along the way. It is a movie about friendship in its purest and simplest forms.Shawshank is a gem because it makes you think - but about things what will be unique to you: about yourself, life, and what you make of its ephemerality, (or power, corruption and the justice system). It evokes visceral emotion in you: empathy, love: you will root for the main characters and feel a growing bond with them through the 2 hours and 22 minutes, almost as if you are an inmate and a friend in Shawshank yourself; it will make you laugh and make you cry.The script is genuinely beautifully written, and several times throughout I thought to myself how it often sounded like poetry. Morgan Freeman in particular delivers an amazing, sensitive performance through both his narration and acting, and the rest of the cast are equally as essential and perfect for their characters, with rich visuals and cinematography bringing the camaraderie and encapsulating the mood in Shawshank to life respectively.This movie will bring you hope, which may be a dangerous thing, but which also may be the best of things - as well as something that we all quite possibly need now, today, more than ever.Sorry for writing such a long review and thank you for reading. I love Shawshank!!"
i-66666-x,2-Mar-19,10月10日,Hi,One of the nicest films ever and immortal in memory
avikshitmahajan,6-Oct-24,N/A,Now i also hope,"This movie taught me to never lose hope! The sheer dedication, persevere and sheer will to stay so long in the jail and do well. It teaches humans to be humans and not losing hope and facing the issues instead of giving up , procrastinating and when life beats you down you get up and face it and not lose hope ever. Many people can be your foes but you fake it till you make it. I will never forget this movie and its teaching of continously adapting to the new changes instead of giving up. The friendship in the movie despite the age gap teaches about how communication can be so fruitful to the new generation and old generation to maximise human relationships. So this movie is the best lesson that has happened to me."
obadiah,11-Feb-02,6月10日,Ho hum....,"I can't say much more than I was incredibly underwhelmed by this film. Perhaps it was that I had been told what a great film it was by all and sundry, but I found it utterly average.  I am afraid I just didn't get what was so fantastic about the movie.  Don't get me wrong it was an entertaining film but not the masterpiece I was lead to believe it was. Sorry."
SimonHeide,18-Dec-07,3月10日,Entertaining but still very much a piece of fiction,"Watching this film made me think about the genre of ""prison""-movies and what the theme really is in these stories. All of them seem to have some common elements; the warden is a psychopath, there is almost always some inmate that is out to get the protagonist in some way, there is the companionship and last but not least the portrayal of the human spirit that will not be broken in the direst of circumstances. And maybe that is what ""shawshank"" wants to tell us; that the strong individual can beat an unfair and cruel system by different means. In this story we have Andy Dufresne who is clever but also able to endure visits in ""the hole"" many times without developing psychiatric phenomena. In this sense I will claim that this movie is just as much a piece of fiction as lets say ""starwars"" is. It is simply not possible to stay sane if you are repeatably treated in a degrading manner and if you live in constant fear. The movie is highly entertaining but should not be seen as a serious attempt to explore human reactions in a prison environment where inmates are treated as garbage. Don't fool yourself on this account. Luke Skywalker is just as real as the character of Andy Dufresne is.Regards SimonPs. When you read reviews that gives max score check to see if the user has made more than one review. If not consider the possibility of a lobbyist. If you agree consider putting this post scriptum at the bottom at your own reviews."
MaxPlanckAI,7-Dec-24,10月10日,Triumph of the Human Spirit,"The Shawshank Redemption is often hailed as a cinematic masterpiece-and for good reason. Adapted from Stephen King's novella Rita Hayworth and Shawshank Redemption, the film weaves an extraordinary tale of hope, perseverance, and friendship, transcending the confines of its prison setting to touch the very essence of the human spirit. It is not merely a film; it is an enduring piece of art that resonates with universal themes, offering inspiration and motivation to audiences worldwide.A Journey of Redemption:
The story revolves around Andy Dufresne (Tim Robbins), a banker wrongfully convicted of murdering his wife and her lover, and sentenced to life in Shawshank State Penitentiary. In prison, Andy befriends Ellis ""Red"" Redding (Morgan Freeman), a seasoned inmate known for his ability to procure contraband. Over the course of two decades, Andy's quiet resilience, intellect, and unyielding hope transform not only his life but the lives of those around him.Performances: A Showcase of Talent
Tim Robbins delivers a career-defining performance as Andy Dufresne, embodying quiet strength and unrelenting optimism. Morgan Freeman's portrayal of Red is nothing short of iconic; his warm, introspective narration lends the film its soul. The chemistry between Robbins and Freeman is electric, making their friendship the emotional core of the film.The supporting cast, including Bob Gunton as the corrupt warden Norton and Clancy Brown as the brutal Captain Hadley, adds depth to the story, creating a vivid tapestry of life within Shawshank.Themes: Hope as a Beacon
At its heart, The Shawshank Redemption is a story about hope-its power to sustain, transform, and ultimately liberate. Andy's unwavering belief in a better future, symbolized by his escape and the iconic poster of Rita Hayworth, serves as a reminder that the human spirit can overcome even the darkest circumstances.The film also explores themes of friendship, justice, and institutionalization. Red's journey from a man resigned to his fate to one who dares to hope mirrors the transformative power of Andy's optimism.Technical Brilliance:
Roger Deakins' cinematography is another highlight of the film. From the claustrophobic interiors of the prison to the breathtaking final scene on the shores of Zihuatanejo, Deakins captures both the despair and beauty of Andy's journey. Thomas Newman's hauntingly beautiful score complements the visuals, evoking a spectrum of emotions-from sorrow to triumph.Conclusion: A Testament to Cinema's Potential
The Shawshank Redemption is more than just a film-it is an experience, a meditation on life's struggles and the power of the human spirit. It reminds us that redemption is always within reach, and that even in the bleakest circumstances, hope can shine as a guiding light.This timeless classic reaffirms the transformative power of cinema, making it a must-watch for anyone seeking inspiration, motivation, or simply the joy of witnessing a perfect piece of storytelling.""Hope is a good thing, maybe the best of things, and no good thing ever dies.""
With that simple yet profound message, The Shawshank Redemption cements its place as one of the greatest films ever made."
namashi_1,9-Apr-09,10月10日,The best film ever made!,"'The Shawshank Redemption' is the best film ever made in the history of world cinema! The Best Hollywood Film Of All-Time! A Masterpiece! A cult classic! A legendary Epic! A Film that you moves you, leaves you stunned!Performances: Tim Robbins is astounding, his careers finest after Mystic River. Morgan Freeman is masterful, his careers finest after Million Dollar Baby. Others are excellent.'The Shawshank Redemption' is cinema at its very best. My salute to this flick! A true Masterpiece! I just love this film! The most powerful film of all-time."
lagudafuad,17-Dec-12,9月10日,Now here is a classic,"This suspense filled, dramatic movie rides high on the plain of self discovery, self worth and self preservation; if an innocent man is locked up for two decades with criminals, nothing else will he learn than to be a criminal himself. There is no better movie that I can recommend you to see than this classic Jail Break that stared one of the best supporting actors you will love to have on your side if you are in the lead role of a movie, Morgan Freeman.Shawshank Redemption was adapted from a Stephen King novella named Rita Hayworth and Shawshank Redemption. Frank Darabont secured the right to make the film from King in 1987, and he worked intensively on the screenplay for a proper adaptation of the movie, Darabont's screenplay writing earned him an Academy Award nomination, in fact the movie had seven Academy Award nominations and won none.The film tells the story of Andy Dufresne (Tim Robbins) who is a banker who got convicted for murdering his wife and her lover; he got two consecutive life sentences at Shawshank State Penitentiary. At Shawshank Andy befriends a fellow inmate, Ellis Boyd ""Red"" Redding (Morgan Freeman) Red was a contraband smuggler.Andy also developed a nice rapport with the warden and the other guards helping them with their taxes and also helping the warden in his money laundering operation.The movie boast of amazing scenery not to add an impressive cinematography, the movie growth and inclusion and exit of characters will make you feel like you are reading a book, the movie has numerous cast, and it is broken into segments each introducing new casts and each building a parallel wall that guides us to the climatic end.It didn't do well in the box office at all barely making back its production cost, but due to critic's high rating and Academy Award nomination, Golden Globe award nomination and other notable nominations, the movie did well in rental and DVD sales, it is shown regularly on Cable TV, and it has a high following.Frank Darabont who is the director and screenplay writer also made more of King's books; He directed the 1999 Tom Hanks movie The Green Mile which was a box office success compared to this. The Green Mile is another of King's books that is about a prison, and Darabont also directed the 2007 movie The Mist which is also based on a Stephen King book.Here is a DVD every home should have.www.lagsreviews.com"
Theo Robertson,12-Aug-04,8月10日,"Good , But It Is Overrated By Some",N/A
daveisit,26-Dec-00,10月10日,Well Worth A Read.,"I enjoyed reading Stephen King's short story ""Rita Hayworth And Shawshank Redemption"" from the book ""Different Seasons"" more than watching the movie. However, it's still one of my favourite movies of all time.It has very few peers, and has to be seen. It is Awesome."
Levi-5,7-Aug-98,10月10日,NOT just a prison movie,"A film about a Stephen King story? Directed by Frank Darabont.  .  .  Who?  Starring Tim Robbins.  .  .  Wasn't he the guy from Howard the Duck?  I admit, only the sublime acting talents of Morgan Freeman took me along to see this movie.  Now the only questions I have to ask are:  Why didn't EVERYBODY go to see this movie?  and, Why didn't Morgan Freeman win the Oscar?  Tom Hanks is a fine actor but, he should never have beaten Morgan.  Once again a Stephen King short story translates to film better than his horror opus'.  Tim Robbins pulls out his finest performance to date, and, Mr Darabont take a bow.  Very rarely are you left with a large smile and warm heart at the end of a movie but, I could have danced as the camera slowly panned back from the beach.  .  .  Perfect."
Vincentiu,7-Oct-13,N/A,about  freedom,"a film about freedom. not only because the story has as scene a prison. but for the force and grace and precise of creation freedom of actors and director, ideas and dialogs, whole script and special emotions of viewer. it is a rare film because it represents more than brilliant acting or smart script. it is a homage for basic values and eulogy to friendship. it is representation of a form of revolution who can be considered fruit of a different religious perception. it seems be perfect. and this is key to be more than a good/interesting film but an extraordinary cinema lesson. Red, Rita Hayworth poster and Andy Dufresne. that is all. at first sigh."
Dan-56,21-Apr-99,6月10日,Good but ludicrously overrated,"I quite like this film but it wouldn't make my top 100. The idea it's the greatest film in history is laughable.Of course the acting's terrific. Morgan Freeman and Tim Robbins are solid as ever, even if Bob Gunton and Clancy Brown (the Baddies) chew the scenery. And that's the problem - everything is so terribly black and white, with every character springing straight out of a three word summary. Our hero is Good But Flawed, Red is Good And Noble, the Warden is Just Plain Bad and his henchman is Reminiscent Of Another Film (okay, four words).I've never been inside a prison, but I can't believe all the prisoners would be so damn nice. There's the ""sisters"" - a bunch of horrid rapists, of course, but they're nothing a small plot contrivance can't eliminate. The ""sisters"" aside, there's nary a cross word from a prisoner in the whole film.Racism is also curiously absent. American prisons today are notorious hot-beds of racism. Martin Luther King's dream is bizarrely alive and well in Shawshank, where colour doesn't get a mention in twenty years of ""history"".This total lack of realism means it's not really a film about prison at all. And what kind of ""character"" film can be centred around someone who seems entirely flawless (other than perhaps in his choice of attorney).I can whinge about the mechanics of the film as well. Voiceover narration is irritating enough - but Red narrating events at which he was not present? Pur-lease. And that final scene - talk about a director who didn't know when to shout ""cut"". It didn't need much self control to stop at the point Red heads towards Mexico - films for grown-ups shouldn't need endings that resolve any uncertainty.Speaking of the director, isn't it odd how the maker of the ""Greatest film in the world ever"" is also credited for The Fan, Eraser, The Blob and The Fly II? It's as if Orson Welles directed ""Plan 9 from Outer Space"", or Francis Ford Copolla helmed ""Megaforce"".I don't mean to make this out to be a bad film - it's far from that. But anyone who rates it the greatest ever should try ""Godfather"", ""Goodfellas"", ""Citizen Kane"", ""Casablanca"" - something, anything that's not so *worthy*."
kaushalkrushnakantraj,28-Jun-22,8月10日,Highly Overrated But Only Good,N/A
sm-faiz,10-Dec-07,10月10日,An amazing tale of hope and patience,"When i rented the movie, i was doubtful, whether to rent it or not. Then i started watching it. From the very 1st moment i was kinda sure, it wud be worthy watching this; and worthy it was. The fascinating performance of Morgan Freeman and Tim Robbins, the direction, and everything puts you in the place of the actors, making you feel the way they felt. This movie doesn't have any dirty romance or impossible actions, rather, it focuses on a greater philosophy - Hope to live when there is no hope, survival -- This is one movie, that will leave you talking about it even many days after watching. I won't say anymore, the rest is up-to you to find out when you see the movie"
rdvnyrtsv,24-May-12,10月10日,What a touching movie !,"It is really amazing movie i have ever seen in my lifetime. The cast and the story of the movie are really successful. Andy is a passionate character, and he is convicted of murdering his wife and her lover despite his claims of innocence. It is so touching to spend almost two decades in the prison. Old-fashioned prisons in the 90s are full of bad guy who don't expect anything from the life. And , they don't think how we escape here. However; Andy with his close friend in the prison , Red , tries redemption from this prison, by the time , Andy tries to do beneficial things for people in the prison not to attract attention. It is unbelievable that they escape from this prison. But , Andy approaches to place of exit. It is actually amazing , it is really incredible. They go to their dreams to live a peaceful and quiet life. Also; Andy prepares a trap for the chief of the jail. After the redemption , they become free anymore. It is really an amazing movie. Easily one of the best movies made during the 90s and definitely one of the top 'prison' movies of all-time. Pretty much everything about this movie works and works extremely well!"
mamaramseys,10-Feb-08,10月10日,What a movie!!!,"I totally adored the concept of hope in this film. I love how the director portrays the Shawshank tyrants as corrupt murderers, that's pretty much what they are and serve as the grounds for the escape of Andy. Now Morgan Freeman's got talent, I love that guy he may not be the greatest out there but he is a force to be reckoned with on the set. I loved how he gave the story flavor with his descriptions of characters and perceptions of how life was in lonely jail cells of Shawshank. You know there's a lot more to say about this movie, it's too good too be true. Especially the ending which by the way brought tears to eyes, the most moving scene!!! Overall it was superb and all thanks to Stephen King for putting this in the form of alphabets in the first place. I'm starting to regret not reading any of his novels. And kudos to the director for even coming up with such an idea for a movie."
Hark_Hark_the_Lark,28-Jul-05,10月10日,One of the greatest movies of all time,"The first time I saw ""The Shawshank Redemption"" I was only 12. At the time I was amazed at how a movie could present so much emotion. As I have grown, my taste in movies has also. Still, I rank ""Shawshank"" as my favorite film, the one that I could watch every day for the rest of my life. If you have not seen this film, I pity you. Do not just rent it at your local Blockbuster. I implore you step away from your computer, go out to the nearest store, and buy this movie. Not only do Morgan Freeman and Tim Robbins give performances that will make you question your humanity, but you will most definitely learn something that will benefit you as a person. So, if you are yet to see this film, you must (in the words of Andy), ""Get busy livin', or get busy dyin'."""
allowallo_135,17-May-07,10月10日,A favourite film,"When i watched this film i thought now whats this going to be like? After watching it i thought it was a brilliant film,fantastically acted with greats like Morgan Freeman and Tim Robbins and Bob Gunton. Very realistic and definitely one of my absolute favourites of all time. At the end it made me cry and thought about life. Every time i watch it the film brings a tear to my eye. Fantastic film and worth watching,it's really realistic film and another one of stephen king's great stories, a story of hope and many people who have watched will say the same thing - if you haven't seen this film already then watch it, it is brilliant, just brilliant!!be prepared to be moved, it's such a breathtaking journey for the whole two hours. A truly lovely magical film, my favourite of all time fantastic"
EVON1TY,1-Jul-19,9月10日,Really good adapted screenplay but that's not enough to being the top rated movie of all time.,"Storyline is really good so it's a story from Stephen King's book, how can be bad? But that's not enough to be the top rated movie of all time.But people are confused about something. That thing is this movie is not the best movie of all time, it is the highest rated movie. That makes it doesn't matter your age or gender or what genre you like, you'll like this movie. Yes, it can be your favorite movie but objectively I won't trust your opinion on movies that much.The movie has really good acting and screenplay and these are the most important things in a movie. Also Costume Design and Set Decoration is really good. But this movie average quality of Cinematography, Scores and Sound Effects. Okey maybe that scores or cinematography is not bad but we are talking about the top rated movie of all time. The Green Mile is directed by same person, Frank Darabont. And that movie has amazing Screenplay, Film Editing, Acting Cinematography, Makeups, Costumes, Art Direction and Set Decoration. All of them are really good, just scores are average. But as I sad in this movie we don't have amazing Cinematography, Film Editing, Original Scores..."
Susan-6368,5-May-25,N/A,The perfect movie?,"Even though the subject matter is dark, I consider this the perfect movie. I can't count how many times I have rewatched it, but Shawshank always engages me and keeps me captivated like few other films have. I admittedly have never read the King short story - I'm afraid it will disappoint me - but I probably should. One thing I like most about this movie is the friendship portrayed by Freeman and Robbins; it seems so natural and sweet. I also love that this is a long movie; 90 minutes would not have done it justice. I know a lot of younger audiences complain about long movies due to their short attention spans, but as I said, this movie is perfect as is. Please do NOT remake it!"
Jakey boy,30-Oct-00,6月10日,An average film that does not bear repeated viewing,"Ok, so this isn't exactly a bad film, but it's extremely hard to see why it holds the no.2 position in the top 250 films. The acting is fine, the twist is gratifying (if a little predictable) and some of the shots are fantastic. However, the film is let down by unrealistic dialogue, especially on the part of Freeman's character, who does not seem able to construct a sentence without using a string of metaphors and similes.The prison warder is a one-dimensional villain with very little allure - we, the viewers, are not credited with much intelligence. Because he is a villain, it therefore follows that he must a be a Nazi, no? Cue references to book-burning etc. Furthermore, the portrayal of Tim Robbins' character as Christ is slightly offensive (check out the shot in which he is shown with his arms thrown up to heaven).In true Hollywood style, there seems to be about five 'endings' - when we think that the excitement (or otherwise) is over, another sequence is tagged onto the end. Despite some fairly violent scenes, life inside Shawshank seems actually rather appealing - a library, plenty of time outside the cells. This, combined with the film's massive length, means that for my mind, The Shawshank Redemption merits only a 6/10."
MattB-5,29-Aug-99,3月10日,Morgan Freeman is the only great thing in this movie,"Satisfying, good movie, but the only great part of this movie is the magnificent performance by Morgan Freeman. An apparently inspired Tim Robbins rises above his very mediocre talent and delivers an adequate performance. Ham-handed attempts at profundity in every scene get tiring as is the use of every prison movie device, character, and cliche in the history of hollywood."
Vampenguin,21-May-06,9月10日,"A bit overrated, but still an amazing film","It's times like these that almost tempt me to grab Jigsaw off the shelf. It's been almost a month since I saw a film that was flatout bad; the worst review I've given in weeks was a 6/10 to Flightplan. This film obviously didn't break my streak.I went into it knowing next to nothing, only that IMDb has it ranked as the second best movie of all time, that it was based on a story by Stephen King, and that it took place in a prison. Needless to say, it blew me away. I wont say a thing about the plot, just so that others who've yet to see this film have a chance at the same experience as me. I will say this though: It has some of the most subtle and unexpected twists you will ever see. One in particular stands out above the rest.Not much can be said about the actors that hasn't been said. Morgan Freeman gives one of the best performances of his career, and even though I've only seen 2 or 3 other Tim Robbins movies, I'm sure the same can be said for him.Though I don't agree with the multitudes of people that call this the best movie ever made, it was still a very good, very well made, very entertaining and almost heartbreaking film.9/10"
SnoopyStyle,8-Dec-13,8月10日,Freeman gives it depth,"Andy Dufresne (Tim Robbins) is a banker convicted of murdering his wife and her lover. He always professes his innocence, but is thrown into Shawshank Prison with other lifers like Red (Morgan Freeman).Director Frank Darabont has made a prison fable out of a Stephen King short story. It is well acted by Tim Robbins and Morgan Freeman. Freeman is especially important as he is the narrator and the POV of the story. It's his lyrical voice that makes this fable compelling. It could have easily been a simple prison movie that rang hollow. Freeman gave the readings depth.If there is one complaint, it is Andy's claim of innocence. It needs to be shown early on during the trial. Instead, we derived mostly from Andy's demeanor. It needs to be a big declaration at the beginning. When Tommy (Gil Bellows) tells the story, he should include one detail from the trial like the 8 bullets. That way, the audience can get an aha moment. It's a minor point, and overall this is a good prison fable."
conyemenam,1-Jun-10,10月10日,"Blatantly Simple, yet Utterly Beautiful",N/A
comercialcleaning70,15-Jul-13,10月10日,Awesome movie - The Shawshank Redemption (1994),"It's very rare that you find such diversity in a movie now days. I like the story and it's concept.A thumping good ode to friendship, hope, wit, wiles and wisdom, brimming with crackling characters and topped with the most twister of twists since ""The Crying Game."" The Shawshank Redemption is a powerful and uplifting, not to mention Oscar-worthy film. In 2006, it was ranked as the greatest film ever by Empire, a film magazine. The year it came out it was nominated for 7 academy awards but did not win a single one because of a movie you may all remember, Forrest Gump. It's the no-bull performances that hold back the flood of banalities. Robbins and Freeman connect with the bruised souls of Andy and Red to create something undeniably powerful and moving. Some of ""The Shawshank Redemption'' comes across as outrageously improbable. Yet the film keeps pulling you back with its sense of striving humanity slowly turning the tables against evil."
paede23,7-Feb-05,10月10日,just great,"Thanx to everybody who helped to put Shawshank back to rank 2 in the top 250, in front of LotR3, where it belongs. I've seen this movie about 20 times and I never get tired of it. That's what makes a movie the best. The first 2 in the top 250 are where they belong. The 3 LotR-movies should be out of the top 10. They should create a category for special effects. Put them on top there. But for a great movie it need a lot more then effects. The story of Shawshank is absolutely great. The actors did their best. It's still a shame, that this great movie didn't got a single Oscar. It could have win the best picture in most years against all winners."
pristineview,4-Feb-06,10月10日,The BEST movie ever made.,"Emotion, hope and justice all blend perfectly in this film. Quite simply, no other film comes close to this one in regards to screenplay, casting and plot development. No spoilers here - just a comment on a movie that can still move you to tears even after multiple viewings. Morgan Freeman delivers the performance of a lifetime. Everything else comes together in perfect harmony. This movie came out the same year as Forrest Gump which won the Oscar for best picture - Forrest Gump is a great picture but this one really deserved the ""cake"". Tim Robbins is AMAZING as Andy, and he supported brilliantly by a cast that one could only hope to see assembled again. This is one of those rare occasions where the movie actually surpasses the book for drama, suspense and flow. If you haven't seen this film, please do yourself the favour and watch it. I know you will not be disappointed!""Get busy livin'"""
bmfj,9-Oct-05,9月10日,This Movie Saved My Life.,N/A
